task_id,baseline_cost,route,program_count,best_program,best_proxy_cost
286,110902,sparse_edit_or_object_completion,0,,
187,105313,same_shape_global_transform,0,,
198,103821,same_shape_global_transform,0,,
203,88402,sparse_edit_or_object_completion,0,,
398,84295,crop_or_resize,0,,
313,83572,sparse_edit_or_object_completion,0,,
255,74403,same_shape_global_transform,0,,
107,73131,crop_or_resize,0,,
137,72472,same_shape_global_transform,0,,
29,71139,crop_or_resize,0,,
280,70515,sparse_edit_or_object_completion,0,,
145,69757,same_shape_global_transform,0,,
328,68053,sparse_edit_or_object_completion,0,,
233,63540,crop_or_resize,0,,
366,60515,crop_or_resize,0,,
275,59811,crop_or_resize,0,,
133,59322,sparse_edit_or_object_completion,0,,
209,59267,crop_or_resize,0,,
204,56171,sparse_edit_or_object_completion,0,,
221,55869,crop_or_resize,0,,
13,54111,sparse_edit_or_object_completion,0,,
222,52891,crop_or_resize,0,,
54,52411,sparse_edit_or_object_completion,0,,
303,52347,sparse_edit_or_object_completion,0,,
243,51195,sparse_edit_or_object_completion,0,,
349,49480,same_shape_global_transform,0,,
159,48739,crop_or_resize,0,,
128,48731,sparse_edit_or_object_completion,0,,
138,48467,crop_or_resize,0,,
338,45016,sparse_edit_or_object_completion,0,,
91,43107,crop_or_resize,0,,
110,42363,same_shape_global_transform,0,,
80,42082,same_shape_global_transform,0,,
19,40026,crop_or_resize,0,,
109,38755,crop_or_resize,0,,
216,38307,crop_or_resize,0,,
215,38094,sparse_edit_or_object_completion,0,,
382,37115,sparse_edit_or_object_completion,0,,
191,36076,sparse_edit_or_object_completion,0,,
161,34907,sparse_edit_or_object_completion,0,,
14,34851,crop_or_resize,0,,
17,33755,sparse_edit_or_object_completion,0,,
2,33547,sparse_edit_or_object_completion,0,,
306,32802,sparse_edit_or_object_completion,0,,
392,30870,same_shape_global_transform,0,,
231,30755,crop_or_resize,0,,
88,30659,crop_or_resize,0,,
62,30609,same_shape_global_transform,0,,
205,30083,crop_or_resize,0,,
132,29458,sparse_edit_or_object_completion,0,,
101,29435,sparse_edit_or_object_completion,0,,
324,28891,sparse_edit_or_object_completion,0,,
165,27835,sparse_edit_or_object_completion,0,,
278,27080,sparse_edit_or_object_completion,0,,
96,26948,crop_or_resize,0,,
377,26659,crop_or_resize,0,,
234,26619,sparse_edit_or_object_completion,0,,
55,26370,same_shape_global_transform,0,,
384,26243,crop_or_resize,0,,
63,26235,sparse_edit_or_object_completion,0,,
33,26075,sparse_edit_or_object_completion,0,,
364,26075,sparse_edit_or_object_completion,0,,
86,25857,sparse_edit_or_object_completion,0,,
75,25851,sparse_edit_or_object_completion,0,,
264,25739,crop_or_resize,0,,
289,24972,crop_or_resize,0,,
157,24780,sparse_edit_or_object_completion,0,,
92,24574,sparse_edit_or_object_completion,0,,
158,24283,sparse_edit_or_object_completion,0,,
11,24184,sparse_edit_or_object_completion,0,,
301,24155,sparse_edit_or_object_completion,0,,
175,23859,sparse_edit_or_object_completion,0,,
9,23611,sparse_edit_or_object_completion,0,,
376,23413,crop_or_resize,0,,
310,23395,crop_or_resize,0,,
177,23171,crop_or_resize,0,,
285,23067,sparse_edit_or_object_completion,0,,
396,22947,crop_or_resize,0,,
268,22387,sparse_edit_or_object_completion,0,,
387,22269,sparse_edit_or_object_completion,0,,
383,22235,sparse_edit_or_object_completion,0,,
201,22224,crop_or_resize,0,,
148,22029,sparse_edit_or_object_completion,0,,
74,21825,sparse_edit_or_object_completion,0,,
240,21627,sparse_edit_or_object_completion,0,,
308,21187,crop_or_resize,0,,
49,21135,crop_or_resize,0,,
65,20963,crop_or_resize,0,,
21,20739,crop_or_resize,0,,
238,20291,crop_or_resize,0,,
279,20244,sparse_edit_or_object_completion,0,,
213,20067,crop_or_resize,0,,
350,19831,sparse_edit_or_object_completion,0,,
359,19771,sparse_edit_or_object_completion,0,,
367,19707,sparse_edit_or_object_completion,0,,
5,19387,sparse_edit_or_object_completion,0,,
202,19206,sparse_edit_or_object_completion,0,,
59,19163,sparse_edit_or_object_completion,0,,
256,19067,sparse_edit_or_object_completion,0,,
46,19000,crop_or_resize,0,,
70,18939,sparse_edit_or_object_completion,0,,
61,18914,sparse_edit_or_object_completion,0,,
281,18843,sparse_edit_or_object_completion,0,,
379,18843,sparse_edit_or_object_completion,0,,
31,18616,crop_or_resize,2,bbox_nonzero,512
69,18263,sparse_edit_or_object_completion,0,,
196,18011,sparse_edit_or_object_completion,0,,
219,18011,sparse_edit_or_object_completion,0,,
183,17795,crop_or_resize,0,,
325,17795,crop_or_resize,0,,
84,17595,sparse_edit_or_object_completion,0,,
